MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1918910	Rarres2	retinoic acid receptor responder (tazarotene induced) 2	6		positive regulation of glucose import in response to insulin stimulus			IDA		J:202588 	
MGI:1918910	Rarres2	retinoic acid receptor responder (tazarotene induced) 2	6		positive regulation of glucose import in response to insulin stimulus			ISO	Q99969 	J:164563 	
MGI:1100865	Rbm4	RNA binding motif protein 4	19		regulation of insulin receptor signaling pathway			IDA		J:192831 	
MGI:97879	Rbp4	retinol binding protein 4, plasma	19		response to insulin			IMP	MGI:2445721 	J:99988 	
MGI:103290	Rela	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	19		negative regulation of insulin receptor signaling pathway			ISO	RGD:727889 	J:155856 	
MGI:1889817	Repin1	replication initiator 1	6		regulation of glucose import in response to insulin stimulus			IMP		J:164798 	
MGI:1888506	Retn	resistin	8		response to insulin			ISO	RGD:628781 	J:155856 	
MGI:1931553	Rhoq	ras homolog family member Q	17		cellular response to insulin stimulus			IMP		J:75890 	
MGI:1931553	Rhoq	ras homolog family member Q	17		cellular response to insulin stimulus			ISO	P17081 	J:164563 	
MGI:1931553	Rhoq	ras homolog family member Q	17		insulin receptor signaling pathway			ISO	P17081 	J:164563 	
MGI:1098272	Rnasel	ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent)	1		positive regulation of glucose import in response to insulin stimulus			IMP		J:204800 	
MGI:98001	Rpe65	retinal pigment epithelium 65	3		insulin receptor signaling pathway			IMP	MGI:2181399 	J:121152 	
MGI:1270849	Rps6kb1	ribosomal protein S6 kinase, polypeptide 1	11		cellular response to insulin stimulus			IBA	PTN000682128 	J:161428 	
MGI:1270849	Rps6kb1	ribosomal protein S6 kinase, polypeptide 1	11		negative regulation of insulin receptor signaling pathway			ISO	P23443 	J:164563 	
MGI:1270849	Rps6kb1	ribosomal protein S6 kinase, polypeptide 1	11		negative regulation of insulin receptor signaling pathway			ISO	RGD:620683 	J:155856 	
MGI:1270849	Rps6kb1	ribosomal protein S6 kinase, polypeptide 1	11		response to insulin			ISO	RGD:620683 	J:155856 	
MGI:2135958	Scap	SREBF chaperone	9		response to insulin			IMP	MGI:2148743 MGI:2180899 	J:129815 	
MGI:1355310	Scly	selenocysteine lyase	1		response to insulin	happens in liver		IMP	MGI:4362224 	J:189255 	
MGI:1915304	Serpina12	serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 12	12		positive regulation of insulin receptor signaling pathway			IMP	MGI:5568548 	J:208508 	
MGI:2651874	Sesn2	sestrin 2	4		response to insulin			IGI	MGI:104663 MGI:1922997 	J:189021 	
MGI:2651874	Sesn2	sestrin 2	4		response to insulin			IMP	MGI:3587950 	J:189021 	
MGI:1922997	Sesn3	sestrin 3	9		regulation of insulin receptor signaling pathway			IMP		J:232620 	
MGI:1922997	Sesn3	sestrin 3	9		response to insulin	has the participant liver		IGI	MGI:2651874 	J:189021 	
MGI:1922997	Sesn3	sestrin 3	9		response to insulin			IMP		J:232620 	
MGI:1340062	Sgk1	serum/glucocorticoid regulated kinase 1	10		cellular response to insulin stimulus			ISO	Q06226 	J:73065 	
MGI:1345171	Sh2b2	SH2B adaptor protein 2	5		insulin receptor signaling pathway			IDA		J:54187 	
MGI:98296	Shc1	src homology 2 domain-containing transforming protein C1	3		insulin receptor signaling pathway			IBA	PTN000037430 	J:161428 	
MGI:98296	Shc1	src homology 2 domain-containing transforming protein C1	3		insulin receptor signaling pathway			ISO	RGD:620446 	J:155856 	
MGI:2445031	Sik2	salt inducible kinase 2	9		insulin receptor signaling pathway			IDA		J:83587 	
MGI:2445031	Sik2	salt inducible kinase 2	9		regulation of insulin receptor signaling pathway			IDA		J:83587 	
MGI:2135607	Sirt1	sirtuin 1	10		positive regulation of insulin receptor signaling pathway			ISO	Q96EB6 	J:164563 	
MGI:2135607	Sirt1	sirtuin 1	10		response to insulin			IDA		J:128457 	
MGI:95758	Slc2a4	solute carrier family 2 (facilitated glucose transporter), member 4	11		cellular response to insulin stimulus			IDA		J:131844 J:176652 	
MGI:95758	Slc2a4	solute carrier family 2 (facilitated glucose transporter), member 4	11		cellular response to insulin stimulus			ISO	P14672 	J:164563 	
MGI:95758	Slc2a4	solute carrier family 2 (facilitated glucose transporter), member 4	11		glucose import in response to insulin stimulus			IDA		J:234039 	
MGI:1860103	Slc2a8	solute carrier family 2, (facilitated glucose transporter), member 8	2		insulin receptor signaling pathway			IDA		J:62999 	
MGI:102462	Slc9a1	solute carrier family 9 (sodium/hydrogen exchanger), member 1	4		cellular response to insulin stimulus			ISO	RGD:3718 	J:155856 	
MGI:1917806	Slc25a33	solute carrier family 25, member 33	4		cellular response to insulin stimulus			ISO	Q9BSK2 	J:164563 	
MGI:1347098	Slc27a1	solute carrier family 27 (fatty acid transporter), member 1	8		response to insulin			IMP	MGI:3038701 	J:88657 	
MGI:1203524	Smarcc1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	9		insulin receptor signaling pathway			IDA		J:117710 	
MGI:1354910	Socs1	suppressor of cytokine signaling 1	16		negative regulation of insulin receptor signaling pathway			IDA		J:91027 	
MGI:1201787	Socs2	suppressor of cytokine signaling 2	10		negative regulation of insulin receptor signaling pathway			IBA	PTN000043896 	J:161428 	
MGI:1201791	Socs3	suppressor of cytokine signaling 3	11		negative regulation of insulin receptor signaling pathway			IDA		J:91027 	
MGI:2651588	Socs7	suppressor of cytokine signaling 7	11		insulin receptor signaling pathway			IMP	MGI:3603205 	J:100915 	
MGI:2444575	Soga1	suppressor of glucose, autophagy associated 1	2		insulin receptor signaling pathway			IDA		J:165436 	
MGI:700014	Sorbs1	sorbin and SH3 domain containing 1	19		cellular response to insulin stimulus			IC		J:46223 	
MGI:700014	Sorbs1	sorbin and SH3 domain containing 1	19		cellular response to insulin stimulus			IMP		J:114794 	
MGI:700014	Sorbs1	sorbin and SH3 domain containing 1	19		insulin receptor signaling pathway			IC		J:46223 	
MGI:700014	Sorbs1	sorbin and SH3 domain containing 1	19		insulin receptor signaling pathway			IDA		J:46223 	
MGI:1338015	Sort1	sortilin 1	3		response to insulin			IMP		J:99400 	
MGI:1338015	Sort1	sortilin 1	3		response to insulin			ISO	Q99523 	J:164563 	
MGI:98372	Sp1	trans-acting transcription factor 1	15		cellular response to insulin stimulus			ISO	RGD:3738 	J:155856 	
MGI:98397	Src	Rous sarcoma oncogene	2		positive regulation of insulin receptor signaling pathway			ISO	RGD:620795 	J:155856 	
MGI:107606	Srebf1	sterol regulatory element binding transcription factor 1	11		insulin receptor signaling pathway			IDA		J:117710 	
MGI:98285	Srsf3	serine/arginine-rich splicing factor 3	17		insulin receptor signaling pathway			TAS		J:169991 	
MGI:98287	Srsf5	serine/arginine-rich splicing factor 5	12		response to insulin			ISO	RGD:3664 	J:155856 	
MGI:103063	Stat1	signal transducer and activator of transcription 1	1		cellular response to insulin stimulus			ISO	RGD:3771 	J:155856 	
MGI:107362	Stxbp3	syntaxin binding protein 3	3		response to insulin			IMP	MGI:3528591 	J:95938 	
MGI:1342296	Stxbp4	syntaxin binding protein 4	11		insulin receptor signaling pathway			IDA		J:55848 	
MGI:2429660	Tbc1d4	TBC1 domain family, member 4	14		cellular response to insulin stimulus			ISO	O60343 	J:164563 	
MGI:2429660	Tbc1d4	TBC1 domain family, member 4	14		cellular response to insulin stimulus			ISO	RGD:1561609 	J:155856 	
MGI:1345675	Trib3	tribbles pseudokinase 3	2		cellular response to insulin stimulus			IDA		J:113933 	
MGI:3612190	Trim72	tripartite motif-containing 72	7		negative regulation of insulin receptor signaling pathway			IDA		J:214362 	
MGI:1926945	Trpv4	transient receptor potential cation channel, subfamily V, member 4	5		response to insulin			IMP		J:188264 	
MGI:1929183	Tsc1	tuberous sclerosis 1	2		negative regulation of insulin receptor signaling pathway			IBA	PTN000389117 	J:161428 	
MGI:1929183	Tsc1	tuberous sclerosis 1	2		response to insulin			ISO	Q92574 	J:164563 	
MGI:102548	Tsc2	tuberous sclerosis 2	17		cellular response to insulin stimulus			IMP		J:136406 	
MGI:102548	Tsc2	tuberous sclerosis 2	17		negative regulation of insulin receptor signaling pathway			IBA	PTN000006943 	J:161428 	
MGI:102548	Tsc2	tuberous sclerosis 2	17		regulation of insulin receptor signaling pathway			IMP	MGI:1857938 	J:79972 	
MGI:3029307	Tusc5	tumor suppressor candidate 5	11		cellular response to insulin stimulus			IMP		J:234039 	
MGI:3029307	Tusc5	tumor suppressor candidate 5	11		glucose import in response to insulin stimulus	happens in fat cell		IMP		J:234039 	
MGI:1355274	Uchl3	ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)	14		cellular response to insulin stimulus			IDA		J:158204 	
MGI:99542	Usf1	upstream transcription factor 1	1		cellular response to insulin stimulus			ISO	P22415 	J:164563 	
MGI:1313277	Vamp2	vesicle-associated membrane protein 2	11		cellular response to insulin stimulus			IDA		J:131844 	
MGI:1343180	Vgf	VGF nerve growth factor inducible	5		response to insulin			IMP	MGI:2179681 	J:129798 	
MGI:2684334	Vwa2	von Willebrand factor A domain containing 2	19		regulation of insulin receptor signaling pathway			ISO	Q5GFL6 	J:164563 	
MGI:2685541	Wdtc1	WD and tetratricopeptide repeats 1	4		cellular response to insulin stimulus			IMP	MGI:3774270 	J:129966 	
MGI:98970	Xbp1	X-box binding protein 1	11		cellular response to insulin stimulus			IDA		J:159304 	
MGI:99146	Ybx1	Y box protein 1	4		negative regulation of insulin receptor signaling pathway			ISO	RGD:61843 	J:155856 	
MGI:108109	Ywhag	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide	5		cellular response to insulin stimulus			ISO	RGD:62002 	J:155856 	
MGI:107946	Zfp36l1	zinc finger protein 36, C3H type-like 1	12		cellular response to insulin stimulus			ISO	Q07352 	J:164563 	
MGI:1270153	Zfp106	zinc finger protein 106	2		insulin receptor signaling pathway			IDA		J:46536 	

